Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,6226,13063.371699834624,26453.327692165112,2351.4069059702324,2351.4069059702324,0.0,13346.585598287038,0.0,18811.25524776186,0.0,62873.966377601115,0.0,0.0,0.0,0.0,0.0,63337.629604076035,6.367941880447993e6,2351.406905970218,126211.59598167664,1.0
 ,6227,22450.913543470724,45463.099925528215,4041.1644378247306,4041.1644378247306,0.0,22937.649349093168,0.0,32329.315502597845,0.0,114950.2569551133,0.0,0.0,0.0,0.0,0.0,101596.10620308854,6.2663457742449045e6,4041.1644378247356,216546.36315820192,1.0
 ,6228,17028.28449722615,34482.27610688295,3065.091209500707,3065.091209500707,0.0,17397.45770512601,0.0,24520.729676005656,0.0,160390.4759471542,0.0,0.0,0.0,0.0,0.0,0.0,6.2663457742449045e6,3065.091209500707,160390.47594715416,1.0
 ,6229,21398.797909557685,43332.56576685431,3851.7836237203833,3851.7836237203833,0.0,21862.723848236892,0.0,30814.268989763066,0.0,201556.61493499318,0.0,0.0,0.0,0.0,0.0,0.0,6.2663457742449045e6,3851.7836237203837,201556.6149349932,1.0
 ,6230,48159.2365899811,97522.45409471173,8668.662586196599,8668.662586196599,0.0,49203.32883925189,0.0,69349.30068957279,0.0,453614.85939331894,0.0,0.0,0.0,0.0,0.0,0.0,6.2663457742449045e6,8668.6625861966,453614.85939331894,1.0
 ,6231,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,722994.3754476208,0.0,0.0,0.0,0.0,102638.85994309791,0.0,6.368984634188002e6,11757.034529851164,620355.5155045228,1.0
 ,6232,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,800152.7671024228,0.0,0.0,0.0,0.0,176123.0424714809,0.0,6.5451076766594825e6,11757.034529851162,624029.7246309419,1.0
 ,6233,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,903630.4935199416,0.0,0.0,0.0,0.0,274673.2581072132,0.0,6.819780934766696e6,11757.03452985116,628957.2354127284,1.0
 ,6234,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,900143.7440428296,0.0,0.0,0.0,0.0,271352.5443194872,0.0,7.091133479086183e6,11757.034529851167,628791.1997233424,1.0
 ,6235,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,957618.8725203862,0.0,0.0,0.0,0.0,326090.7619171604,0.0,7.417224241003344e6,11757.034529851162,631528.1106032259,1.0
