Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_tank,H2_from_tank,H2_stored_tank,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,74,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,212994.026933637,0.0,882073.0291035501,0.0,0.0,0.0,70565.84232828405,0.0,0.0,67205.56412217532,16174.249724707211,811507.1867752661,1.0
 ,75,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,216042.5353847517,0.0,882073.0291035501,0.0,0.0,0.0,0.0,67205.56412217529,0.0,134411.1282443506,16174.249724707211,814867.4649813748,1.0
 ,76,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.508451116184,0.0,219091.0438358679,0.0,882073.0291035501,0.0,0.0,0.0,70565.84232827881,0.0,0.0,134411.1282443506,16174.249724707211,811507.1867752713,1.0
 ,77,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,222139.55228698257,0.0,882073.0291035501,0.0,0.0,0.0,70565.84232828405,0.0,0.0,134411.1282443506,16174.249724707211,811507.1867752661,1.0
 ,78,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,225188.06073809727,0.0,882073.0291035501,0.0,0.0,0.0,0.0,67205.56412217532,0.0,201616.69236652547,16174.249724707211,814867.4649813748,1.0
 ,79,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,228236.56918921196,0.0,882073.0291035501,0.0,0.0,0.0,70565.84232828405,0.0,0.0,201616.69236652547,16174.249724707211,811507.1867752661,1.0
 ,80,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,231285.07764032666,0.0,882073.0291035501,0.0,0.0,0.0,70565.84232828405,0.0,0.0,201616.69236652547,16174.249724707211,811507.1867752661,1.0
 ,81,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,234333.58609144134,0.0,882073.0291035501,0.0,0.0,0.0,70565.84232828405,0.0,0.0,201616.69236652547,16174.249724707211,811507.1867752661,1.0
 ,82,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,237382.09454255603,0.0,882073.0291035501,0.0,0.0,0.0,0.0,67205.56412217529,0.0,268822.25648870075,16174.249724707211,814867.4649813748,1.0
 ,83,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,240430.6029936707,0.0,882073.0291035501,0.0,0.0,0.0,70565.84232828405,0.0,0.0,268822.25648870075,16174.249724707211,811507.1867752661,1.0
